Cod_Identificacao;Municipio;PIB;;
1100015;Alta Floresta D'Oeste (RO);262077;;
1100023;Ariquemes (RO);1364694;;
1100031;Cabixi (RO);69611;;
1100049;Cacoal (RO);1186494;;
1100056;Cerejeiras (RO);222021;;
1100064;Colorado do Oeste (RO);193093;;
1100072;Corumbiara (RO);114768;;
1100080;Costa Marques (RO);107583;;
1100098;Espigão D'Oeste (RO);311788;;
1100106;Guajará-Mirim (RO);598167;;
1100114;Jaru (RO);797296;;
1100122;Ji-Paraná (RO);1855359;;
1100130;Machadinho D'Oeste (RO);272201;;
1100148;Nova Brasilândia D'Oeste (RO);173651;;
1100155;Ouro Preto do Oeste (RO);477501;;
1100189;Pimenta Bueno (RO);540862;;
1100205;Porto Velho (RO);9093824;;
1100254;Presidente Médici (RO);235589;;
1100262;Rio Crespo (RO);41934;;
1100288;Rolim de Moura (RO);627848;;
1100296;Santa Luzia D'Oeste (RO);98818;;
1100304;Vilhena (RO);1447187;;
1100320;São Miguel do Guaporé (RO);324476;;
1100338;Nova Mamoré (RO);218431;;
1100346;Alvorada D'Oeste (RO);160689;;
1100379;Alto Alegre dos Parecis (RO);119974;;
1100403;Alto Paraíso (RO);152235;;
1100452;Buritis (RO);336265;;
1100502;Novo Horizonte do Oeste (RO);95420;;
1100601;Cacaulândia (RO);76701;;
1100700;Campo Novo de Rondônia (RO);120440;;
1100809;Candeias do Jamari (RO);228321;;
1100908;Castanheiras (RO);39936;;
1100924;Chupinguaia (RO);165716;;
1100940;Cujubim (RO);210218;;
1101005;Governador Jorge Teixeira (RO);111130;;
1101104;Itapuã do Oeste (RO);90690;;
1101203;Ministro Andreazza (RO);99692;;
1101302;Mirante da Serra (RO);114869;;
1101401;Monte Negro (RO);143417;;
1101435;Nova União (RO);70739;;
1101450;Parecis (RO);49986;;
1101468;Pimenteiras do Oeste (RO);43812;;
1101476;Primavera de Rondônia (RO);35105;;
1101484;São Felipe D'Oeste (RO);58727;;
1101492;São Francisco do Guaporé (RO);173610;;
1101500;Seringueiras (RO);117281;;
1101559;Teixeirópolis (RO);50001;;
1101609;Theobroma (RO);105535;;
1101708;Urupá (RO);121359;;
1101757;Vale do Anari (RO);91480;;
1101807;Vale do Paraíso (RO);89263;;
1200013;Acrelândia (AC);121915;;
1200054;Assis Brasil (AC);42017;;
1200104;Brasiléia (AC);190699;;
1200138;Bujari (AC);86265;;
1200179;Capixaba (AC);108531;;
1200203;Cruzeiro do Sul (AC);771040;;
1200252;Epitaciolândia (AC);144997;;
1200302;Feijó (AC);200521;;
1200328;Jordão (AC);41234;;
1200336;Mâncio Lima (AC);95419;;
1200344;Manoel Urbano (AC);55803;;
1200351;Marechal Thaumaturgo (AC);96005;;
1200385;Plácido de Castro (AC);132633;;
1200393;Porto Walter (AC);60318;;
1200401;Rio Branco (AC);5125851;;
1200427;Rodrigues Alves (AC);124221;;
1200435;Santa Rosa do Purus (AC);35855;;
1200450;Senador Guiomard (AC);184620;;
1200500;Sena Madureira (AC);264528;;
1200609;Tarauacá (AC);227963;;
1200708;Xapuri (AC);117260;;
1200807;Porto Acre (AC);114661;;
1300029;Alvarães (AM);58365;;
1300060;Amaturá (AM);36941;;
1300086;Anamã (AM);51913;;
1300102;Anori (AM);64424;;
1300144;Apuí (AM);104518;;
1300201;Atalaia do Norte (AM);68896;;
1300300;Autazes (AM);154785;;
1300409;Barcelos (AM);93663;;
1300508;Barreirinha (AM);117983;;
1300607;Benjamin Constant (AM);137141;;
1300631;Beruri (AM);74008;;
1300680;Boa Vista do Ramos (AM);55076;;
1300706;Boca do Acre (AM);151889;;
1300805;Borba (AM);156532;;
1300839;Caapiranga (AM);66861;;
1300904;Canutama (AM);49394;;
1301001;Carauari (AM);129697;;
1301100;Careiro (AM);143727;;
1301159;Careiro da Várzea (AM);188023;;
1301209;Coari (AM);1998793;;
1301308;Codajás (AM);120603;;
1301407;Eirunepé (AM);151777;;
1301506;Envira (AM);71690;;
1301605;Fonte Boa (AM);95662;;
1301654;Guajará (AM);51646;;
1301704;Humaitá (AM);217550;;
1301803;Ipixuna (AM);69654;;
1301852;Iranduba (AM);306446;;
1301902;Itacoatiara (AM);849637;;
1301951;Itamarati (AM);42985;;
1302009;Itapiranga (AM);82029;;
1302108;Japurá (AM);32590;;
1302207;Juruá (AM);48747;;
1302306;Jutaí (AM);89745;;
1302405;Lábrea (AM);205325;;
1302504;Manacapuru (AM);647440;;
1302553;Manaquiri (AM);124714;;
1302603;Manaus (AM);50168821;;
1302702;Manicoré (AM);251450;;
1302801;Maraã (AM);65054;;
1302900;Maués (AM);271611;;
1303007;Nhamundá (AM);69664;;
1303106;Nova Olinda do Norte (AM);128637;;
1303205;Novo Airão (AM);73846;;
1303304;Novo Aripuanã (AM);78084;;
1303403;Parintins (AM);578337;;
1303502;Pauini (AM);76686;;
1303536;Presidente Figueiredo (AM);314535;;
1303569;Rio Preto da Eva (AM);193863;;
1303601;Santa Isabel do Rio Negro (AM);65376;;
1303700;Santo Antônio do Içá (AM);83501;;
1303809;São Gabriel da Cachoeira (AM);162583;;
1303908;São Paulo de Olivença (AM);108879;;
1303957;São Sebastião do Uatumã (AM);42613;;
1304005;Silves (AM);48370;;
1304062;Tabatinga (AM);237078;;
1304104;Tapauá (AM);84359;;
1304203;Tefé (AM);350169;;
1304237;Tonantins (AM);58573;;
1304260;Uarini (AM);78559;;
1304302;Urucará (AM);102020;;
1304401;Urucurituba (AM);73588;;
1400027;Amajari (RR);76901;;
1400050;Alto Alegre (RR);134967;;
1400100;Boa Vista (RR);5123256;;
1400159;Bonfim (RR);108568;;
1400175;Cantá (RR);124720;;
1400209;Caracaraí (RR);174394;;
1400233;Caroebe (RR);73318;;
1400282;Iracema (RR);76327;;
1400308;Mucajaí (RR);147252;;
1400407;Normandia (RR);74442;;
1400456;Pacaraima (RR);102814;;
1400472;Rorainópolis (RR);241465;;
1400506;São João da Baliza (RR);66010;;
1400605;São Luiz (RR);59706;;
1400704;Uiramutã (RR);55010;;
1500107;Abaetetuba (PA);583793;;
1500131;Abel Figueiredo (PA);53599;;
1500206;Acará (PA);440767;;
1500305;Afuá (PA);161293;;
1500347;Água Azul do Norte (PA);180873;;
1500404;Alenquer (PA);361813;;
1500503;Almeirim (PA);576867;;
1500602;Altamira (PA);842408;;
1500701;Anajás (PA);95376;;
1500800;Ananindeua (PA);4100513;;
1500859;Anapu (PA);111551;;
1500909;Augusto Corrêa (PA);133308;;
1500958;Aurora do Pará (PA);212961;;
1501006;Aveiro (PA);55948;;
1501105;Bagre (PA);78845;;
1501204;Baião (PA);169274;;
1501253;Bannach (PA);34215;;
1501303;Barcarena (PA);2227150;;
1501402;Belém (PA);18801039;;
1501451;Belterra (PA);109871;;
1501501;Benevides (PA);580847;;
1501576;Bom Jesus do Tocantins (PA);86836;;
1501600;Bonito (PA);56788;;
1501709;Bragança (PA);509272;;
1501725;Brasil Novo (PA);104504;;
1501758;Brejo Grande do Araguaia (PA);35204;;
1501782;Breu Branco (PA);534052;;
1501808;Breves (PA);363440;;
1501907;Bujaru (PA);228097;;
1501956;Cachoeira do Piriá (PA);76673;;
1502004;Cachoeira do Arari (PA);78541;;
1502103;Cametá (PA);475011;;
1502152;Canaã dos Carajás (PA);2120092;;
1502202;Capanema (PA);601464;;
1502301;Capitão Poço (PA);232622;;
1502400;Castanhal (PA);1738923;;
1502509;Chaves (PA);82705;;
1502608;Colares (PA);42094;;
1502707;Conceição do Araguaia (PA);299034;;
1502756;Concórdia do Pará (PA);136685;;
1502764;Cumaru do Norte (PA);107977;;
1502772;Curionópolis (PA);116295;;
1502806;Curralinho (PA);92822;;
1502855;Curuá (PA);93835;;
1502905;Curuçá (PA);132771;;
1502939;Dom Eliseu (PA);311832;;
1502954;Eldorado do Carajás (PA);200326;;
1503002;Faro (PA);29521;;
1503044;Floresta do Araguaia (PA);271036;;
1503077;Garrafão do Norte (PA);121027;;
1503093;Goianésia do Pará (PA);170782;;
1503101;Gurupá (PA);103744;;
1503200;Igarapé-Açu (PA);136819;;
1503309;Igarapé-Miri (PA);237082;;
1503408;Inhangapi (PA);45885;;
1503457;Ipixuna do Pará (PA);387767;;
1503507;Irituia (PA);105748;;
1503606;Itaituba (PA);906107;;
1503705;Itupiranga (PA);241334;;
1503754;Jacareacanga (PA);99660;;
1503804;Jacundá (PA);263119;;
1503903;Juruti (PA);480752;;
1504000;Limoeiro do Ajuru (PA);193960;;
1504059;Mãe do Rio (PA);174972;;
1504109;Magalhães Barata (PA);34471;;
1504208;Marabá (PA);3458625;;
1504307;Maracanã (PA);112322;;
1504406;Marapanim (PA);100430;;
1504422;Marituba (PA);732171;;
1504455;Medicilândia (PA);258218;;
1504505;Melgaço (PA);69232;;
1504604;Mocajuba (PA);128841;;
1504703;Moju (PA);398706;;
1504752;Mojuí dos Campos (PA);...;;
1504802;Monte Alegre (PA);394236;;
1504901;Muaná (PA);140604;;
1504950;Nova Esperança do Piriá (PA);98465;;
1504976;Nova Ipixuna (PA);67354;;
1505007;Nova Timboteua (PA);56296;;
1505031;Novo Progresso (PA);293613;;
1505064;Novo Repartimento (PA);347951;;
1505106;Óbidos (PA);363169;;
1505205;Oeiras do Pará (PA);154222;;
1505304;Oriximiná (PA);1635545;;
1505403;Ourém (PA);90156;;
1505437;Ourilândia do Norte (PA);326029;;
1505486;Pacajá (PA);224947;;
1505494;Palestina do Pará (PA);36046;;
1505502;Paragominas (PA);1427239;;
1505536;Parauapebas (PA);14985170;;
1505551;Pau D'Arco (PA);42532;;
1505601;Peixe-Boi (PA);28106;;
1505635;Piçarra (PA);89211;;
1505650;Placas (PA);111570;;
1505700;Ponta de Pedras (PA);111426;;
1505809;Portel (PA);264772;;
1505908;Porto de Moz (PA);131392;;
1506005;Prainha (PA);141501;;
1506104;Primavera (PA);34879;;
1506112;Quatipuru (PA);43000;;
1506138;Redenção (PA);752443;;
1506161;Rio Maria (PA);201449;;
1506187;Rondon do Pará (PA);333880;;
1506195;Rurópolis (PA);149745;;
1506203;Salinópolis (PA);176749;;
