Granularidade;fx_idade;Populacao;;
Brasil;Total;190755799;;
Brasil;0 a 4 anos;13806733;;
Brasil;5 a 9 anos;14967767;;
Brasil;10 a 14 anos;17167135;;
Brasil;15 a 19 anos;16986788;;
Brasil;20 a 24 anos;17240864;;
Brasil;25 a 29 anos;17102917;;
Brasil;30 a 34 anos;15744616;;
Brasil;35 a 39 anos;13888191;;
Brasil;40 a 44 anos;13008496;;
Brasil;45 a 49 anos;11834647;;
Brasil;50 a 54 anos;10134322;;
Brasil;55 a 59 anos;8284433;;
Brasil;60 a 64 anos;6503287;;
Brasil;65 a 69 anos;4852789;;
Brasil;70 a 74 anos;3744738;;
Brasil;75 a 79 anos;2570686;;
Brasil;80 a 84 anos;1661523;;
Brasil;85 a 89 anos;816803;;
Brasil;90 a 94 anos;319959;;
Brasil;95 a 99 anos;96430;;
Brasil;100 anos ou mais;22676;;
Rondonia;Total;1562409;;
Rondonia;0 a 4 anos;128009;;
Rondonia;5 a 9 anos;139443;;
Rondonia;10 a 14 anos;156276;;
Rondonia;15 a 19 anos;155795;;
Rondonia;20 a 24 anos;151011;;
Rondonia;25 a 29 anos;146385;;
Rondonia;30 a 34 anos;132965;;
Rondonia;35 a 39 anos;116746;;
Rondonia;40 a 44 anos;105372;;
Rondonia;45 a 49 anos;90788;;
Rondonia;50 a 54 anos;72474;;
Rondonia;55 a 59 anos;54381;;
Rondonia;60 a 64 anos;39160;;
Rondonia;65 a 69 anos;28336;;
Rondonia;70 a 74 anos;19954;;
Rondonia;75 a 79 anos;13112;;
Rondonia;80 a 84 anos;7250;;
Rondonia;85 a 89 anos;3426;;
Rondonia;90 a 94 anos;1066;;
Rondonia;95 a 99 anos;389;;
Rondonia;100 anos ou mais;70;;
Acre;Total;733559;;
Acre;0 a 4 anos;77492;;
Acre;5 a 9 anos;82158;;
Acre;10 a 14 anos;87707;;
Acre;15 a 19 anos;76983;;
Acre;20 a 24 anos;70335;;
Acre;25 a 29 anos;67418;;
Acre;30 a 34 anos;59105;;
Acre;35 a 39 anos;47777;;
Acre;40 a 44 anos;39928;;
Acre;45 a 49 anos;31481;;
Acre;50 a 54 anos;25960;;
Acre;55 a 59 anos;20416;;
Acre;60 a 64 anos;15073;;
Acre;65 a 69 anos;11768;;
Acre;70 a 74 anos;7979;;
Acre;75 a 79 anos;5546;;
Acre;80 a 84 anos;3475;;
Acre;85 a 89 anos;1683;;
Acre;90 a 94 anos;819;;
Acre;95 a 99 anos;339;;
Acre;100 anos ou mais;116;;
Amazonas;Total;3483985;;
Amazonas;0 a 4 anos;371367;;
Amazonas;5 a 9 anos;384282;;
Amazonas;10 a 14 anos;400697;;
Amazonas;15 a 19 anos;364761;;
Amazonas;20 a 24 anos;339440;;
Amazonas;25 a 29 anos;323526;;
Amazonas;30 a 34 anos;285747;;
Amazonas;35 a 39 anos;232755;;
Amazonas;40 a 44 anos;191784;;
Amazonas;45 a 49 anos;157397;;
Amazonas;50 a 54 anos;125412;;
Amazonas;55 a 59 anos;96644;;
Amazonas;60 a 64 anos;70564;;
Amazonas;65 a 69 anos;50566;;
Amazonas;70 a 74 anos;36443;;
Amazonas;75 a 79 anos;25092;;
Amazonas;80 a 84 anos;15169;;
Amazonas;85 a 89 anos;7086;;
Amazonas;90 a 94 anos;3550;;
Amazonas;95 a 99 anos;1440;;
Amazonas;100 anos ou mais;263;;
Roraima;Total;450479;;
Roraima;0 a 4 anos;47618;;
Roraima;5 a 9 anos;49182;;
Roraima;10 a 14 anos;52332;;
Roraima;15 a 19 anos;46961;;
Roraima;20 a 24 anos;43388;;
Roraima;25 a 29 anos;42908;;
